layer,validation_AP
1,0.3426154932926202
2,0.30947076405067964
3,0.31607258914896313
4,0.2991792470050131
5,0.3760145639012477
6,0.38982856133097193
7,0.3301147760091652
8,0.3457070173193642
9,0.37191131959439544
10,0.3980523608295347
11,0.6565270800824221
12,0.6531997686966586
13,1.0
14,0.986904761904762
15,0.9599493646233994
16,0.8601359862835811
17,0.7542365304758882
18,0.6904023751408999
19,0.6555188985439406
20,0.7848951830960178
21,0.7212829425016265
22,0.7282467760420435
23,0.7245031526157522
24,0.7517571886015282
