id,group_id,hop_index,n_hops,hop,label,question,answer,source,supporting_title,supporting_sent_id,is_injected_error,split
5ae1229e55429901ffe4adbc-clean,5ae1229e55429901ffe4adbc,1,2,"Currently he is a specially appointed professor at Osaka University, and a visiting professor at Shanghai Jiao Tong University.",0,Rolf Pfeifer is currently a visiting professor at a university located in which country ?,China,hotpotqa,Rolf Pfeifer,1,False,train
5ae1229e55429901ffe4adbc-clean,5ae1229e55429901ffe4adbc,2,2,"Shanghai Jiao Tong University (SJTU; ) is a public research university in Shanghai, China.",0,Rolf Pfeifer is currently a visiting professor at a university located in which country ?,China,hotpotqa,Shanghai Jiao Tong University,0,False,train
5ae1229e55429901ffe4adbc-error,5ae1229e55429901ffe4adbc,1,2,"Currently he is a specially appointed professor at Osaka University, and a visiting professor at Duncan McCargo.",1,Rolf Pfeifer is currently a visiting professor at a university located in which country ?,China,hotpotqa,Rolf Pfeifer,1,True,train
5ae1229e55429901ffe4adbc-error,5ae1229e55429901ffe4adbc,2,2,"Shanghai Jiao Tong University (SJTU; ) is a public research university in Shanghai, China.",0,Rolf Pfeifer is currently a visiting professor at a university located in which country ?,China,hotpotqa,Shanghai Jiao Tong University,0,False,train
5ab27f005542993be8fa992d-clean,5ab27f005542993be8fa992d,1,3,Thirty-six players were divided into two teams with the top US vote-getter (Abby Wambach) and the top international vote-getter (Marta) as captains.,0,2010 WPS All-Star Game had what top US vote-getter who is six-time winner of the U.S. Soccer Athlete of the Year award as a captain,Abby Wambach,hotpotqa,2010 WPS All-Star Game,1,False,train
5ab27f005542993be8fa992d-clean,5ab27f005542993be8fa992d,2,3,"Mary Abigail Wambach (born June 2, 1980) is an American retired soccer player, coach, two-time Olympic gold medalist and FIFA Women's World Cup champion.",0,2010 WPS All-Star Game had what top US vote-getter who is six-time winner of the U.S. Soccer Athlete of the Year award as a captain,Abby Wambach,hotpotqa,Abby Wambach,0,False,train
5ab27f005542993be8fa992d-clean,5ab27f005542993be8fa992d,3,3,"A six-time winner of the U.S. Soccer Athlete of the Year award, Wambach was a regular on the U.S. women's national soccer team from 2003 to 2015, earning her first cap in 2001.",0,2010 WPS All-Star Game had what top US vote-getter who is six-time winner of the U.S. Soccer Athlete of the Year award as a captain,Abby Wambach,hotpotqa,Abby Wambach,1,False,train
5ab27f005542993be8fa992d-error,5ab27f005542993be8fa992d,1,3,Thirty-six players were divided into two teams with the top US vote-getter (Allison Falk) and the top international vote-getter (Marta) as captains.,1,2010 WPS All-Star Game had what top US vote-getter who is six-time winner of the U.S. Soccer Athlete of the Year award as a captain,Abby Wambach,hotpotqa,2010 WPS All-Star Game,1,True,train
5ab27f005542993be8fa992d-error,5ab27f005542993be8fa992d,2,3,"Mary Abigail Wambach (born June 2, 1980) is an American retired soccer player, coach, two-time Olympic gold medalist and FIFA Women's World Cup champion.",0,2010 WPS All-Star Game had what top US vote-getter who is six-time winner of the U.S. Soccer Athlete of the Year award as a captain,Abby Wambach,hotpotqa,Abby Wambach,0,False,train
5ab27f005542993be8fa992d-error,5ab27f005542993be8fa992d,3,3,"A six-time winner of the U.S. Soccer Athlete of the Year award, Wambach was a regular on the U.S. women's national soccer team from 2003 to 2015, earning her first cap in 2001.",0,2010 WPS All-Star Game had what top US vote-getter who is six-time winner of the U.S. Soccer Athlete of the Year award as a captain,Abby Wambach,hotpotqa,Abby Wambach,1,False,train
